          +          = 
4567      +8901      =13468 
1234      +5678      =6912 
9876      +2345      =12221 
6543      +8765      =15308 
3210      +5432      =8642 
7654      +9876      =17530 
2345      +6543      =8888 
8765      +3210      =11975 
5432      +7654      =13086 
9876      +2345      =12221 
1234      +5678      =6912 
6543      +9876      =16419 
3210      +7654      =10864 
8765      +2345      =11110 
5432      +9876      =15308 
7654      +3210      =10864 
2345      +8765      =11110 
9876      +5432      =15308 
1234      +7654      =8888 
6543      +3210      =9753 
3210      +8765      =11975 
8765      +5432      =14197 
5432      +7654      =13086 
7654      +2345      =9999 
2345      +9876      =12221 
9876      +6543      =16419 
1234      +3210      =4444 
6543      +8765      =15308 
3210      +5432      =8642 
8765      +7654      =16419 
5432      +2345      =7777 
7654      +9876      =17530 
2345      +6543      =8888 
9876      +3210      =13086 
1234      +8765      =9999 
6543      +5432      =11975 
3210      +7654      =10864 
8765      +2345      =11110 
5432      +9876      =15308 
7654      +6543      =14197 
2345      +3210      =5555 
9876      +8765      =18641 
1234      +5432      =6666 
6543      +7654      =14197 
3210      +2345      =5555 
8765      +9876      =18641 
5432      +6543      =11975 
7654      +3210      =10864 
2345      +8765      =11110 
9876      +5432      =15308 
